strategy,fgi_col,entry,exit,fast,slow,is_total_return,is_cagr,is_sharpe,is_max_dd,is_calmar,is_transactions,oos_total_return,oos_cagr,oos_sharpe,oos_max_dd,oos_calmar,oos_transactions
kontrarian_long,FGI_OLS,43.0,79.0,,,306.7753100729408,8.1198303473635,0.5168134803638504,-47.650312091099565,0.1704045575155881,43,236.0315091115055,12.630007331113124,0.7891003028707972,-33.79046365187169,0.373774312813063,25
kontrarian_long,FGI_OLS,42.0,79.0,,,301.4249496127924,8.040206344501154,0.5128649214695804,-47.65031209109959,0.1687335505616332,43,236.93903078582613,12.659820512230446,0.7916401227723939,-33.79046365187169,0.37465660852301463,25
trend_long,FGI_OLS,54.0,11.0,,,203.06373938195117,6.3636507244982266,0.4879427208750555,-45.38003011673261,0.1402302005558125,31,212.5683042121004,11.832842309135838,0.8903042897605393,-27.286078099463,0.4336585956399763,13
trend_long,FGI_OLS,53.0,11.0,,,200.40476760801909,6.311510018403843,0.4835223804095216,-45.38003011673264,0.1390812214572913,33,216.72774975660053,11.978011134506472,0.8994431856400836,-26.2451184736252,0.4563900576994411,13
trend_long,FGI_OLS,58.0,11.0,,,196.7961731151558,6.240046338184535,0.4934397657833387,-43.1720475713639,0.1445390406343286,29,226.24815132706092,12.303916724124054,0.9264576814393356,-27.080696678201704,0.45434269547533285,13
trend_long,FGI_Equal,58.0,8.0,,,189.4463306643925,6.09191838864136,0.4737641703259849,-42.90621524077991,0.141982189630451,33,220.09726549125577,12.094355461142193,0.9153501873094823,-27.08069667820177,0.4466042954824488,13
trend_long,FGI_Equal,59.0,8.0,,,189.0757723718857,6.084356475582164,0.4733142104882478,-42.90621524077991,0.1418059467943779,33,217.75062681708403,12.01344707506058,0.9104090284008652,-27.08069667820177,0.4436166180588196,13
trend_long,FGI_Equal,59.0,7.0,,,186.6572203498748,6.034775516456303,0.4671117821624145,-46.26057294588201,0.13045181095176,31,218.87258525436084,12.05219741692023,0.9051052176826347,-27.080696678201722,0.44504753921716866,13
trend_combined,FGI_OLS,54.0,11.0,,,136.71385336232186,4.911316626016382,0.3401703884239558,-45.977674223726886,0.1068195968790845,61,110.27498627404344,7.566099307428242,0.49581291485755297,-31.011013445441428,0.24398103985667866,27
trend_combined,FGI_OLS,53.0,11.0,,,133.21379634003588,4.8243960224986,0.3360203142715677,-45.97767422372682,0.1049291010028725,65,115.95385530273741,7.847758306141883,0.5103577802228648,-30.17527702728755,0.2600724526586829,27
